业务类型,单据编号,标题,状态,单据日期,业务对象,金额,更新时间
qa_inspection,11111111-1111-1111-1111-111111111602,质量检验 11111111-1111-1111-1111-111111111602,待审核,,,0.00,2026-08-13 23:48:15
qa_inspection,f0bab7ab-44d5-4156-bba7-95f534a242ff,质量检验 f0bab7ab-44d5-4156-bba7-95f534a242ff,已关闭,,,0.00,2026-08-13 23:48:15
qa_inspection,c9586e57-2c64-4728-9609-0c34dbeef0f2,质量检验 c9586e57-2c64-4728-9609-0c34dbeef0f2,草稿,,,0.00,2026-08-13 23:48:15
qa_inspection,7039b53e-897b-4068-b9e9-4cacd55beee7,质量检验 7039b53e-897b-4068-b9e9-4cacd55beee7,草稿,,,0.00,2026-08-13 23:48:15
fin_voucher,FV-00000000-20260810211925609953-5604f96a,会计凭证 FV-00000000-20260810211925609953-5604f96a,草稿,2026-08-10,,1.01,2026-08-13 23:07:11
fin_voucher,FV-00000000-20260808000000000000,会计凭证 FV-00000000-20260808000000000000,草稿,2026-08-08,,680.00,2026-08-13 23:07:11
mfg_work_order,TEST-WO-001,生产工单 TEST-WO-001,已下达,2026-08-14,,0.00,2026-08-13 23:03:40
sales_delivery,SD202608120001,销售出库 SD202608120001,草稿,2026-08-12,TEST-CUST-02 · 测试客户二,12.00,2026-08-12 22:16:53
sales_order,SO202608120001,销售订单 SO202608120001,已审核,2026-08-12,TEST-CUST-02 · 测试客户二,12.00,2026-08-12 22:16:50
sales_delivery,SD202608090001,销售出库 SD202608090001,草稿,2026-08-12,TEST-CUST-02 · 测试客户二,12.00,2026-08-12 22:15:48
sales_order,SO202608090002,销售订单 SO202608090002,已审核,2026-08-09,TEST-CUST-02 · 测试客户二,12.00,2026-08-12 22:15:41
inventory_transaction,1b0e107a-0cb0-4db1-8c78-45faa0f0f4ad,库存事务 1b0e107a-0cb0-4db1-8c78-45faa0f0f4ad,已过账,2026-08-12,,880.00,2026-08-12 13:49:31
sales_receivable,AR-SD202608070001,应收账款 AR-SD202608070001,待核销,,TEST-CUST-01 · 测试客户一,880.00,2026-08-12 13:49:31
sales_delivery,SD202608070001,销售出库 SD202608070001,已完成,2026-08-12,TEST-CUST-01 · 测试客户一,880.00,2026-08-12 13:49:31
sales_order,TEST-SO-001,销售订单 TEST-SO-001,已审核,2026-08-07,TEST-CUST-01 · 测试客户一,880.00,2026-08-12 13:49:10
inventory_transaction,f2bd9b6a-8574-47cf-97df-619d5ddfe60a,库存事务 f2bd9b6a-8574-47cf-97df-619d5ddfe60a,已过账,2026-08-09,,0.00,2026-08-12 13:30:22
inv_count,CT-20260810-E5650832B6F24A0FB538698E12A93434,库存盘点 CT-20260810-E5650832B6F24A0FB538698E12A93434,草稿,2026-08-10,,0.00,2026-08-12 13:30:22
inv_count,CT-00000000-20260809000000,库存盘点 CT-00000000-20260809000000,已完成,2026-08-09,,0.00,2026-08-12 13:30:22
inv_transfer,TR-20260810-33E023BA743B47D18F139B3687FB9E0A,库存调拨 TR-20260810-33E023BA743B47D18F139B3687FB9E0A,已审核,2026-08-10,,0.00,2026-08-12 13:30:22
fin_expense,TEST-EXP-001,费用报销 TEST-EXP-001,已结清,2026-08-07,,680.00,2026-08-12 13:30:22
fin_expense,EX-00000000-20260809000000000000,费用报销 EX-00000000-20260809000000000000,已结清,2026-08-09,,1.01,2026-08-12 13:30:22
fin_payment,PY-00000000-20260809225400077589-02c9fb84,付款单 PY-00000000-20260809225400077589-02c9fb84,已确认,2026-08-09,TEST-SUP-01 · 测试供应商一,0.01,2026-08-12 13:30:22
fin_payment,PY-00000000-20260809000000000000,付款单 PY-00000000-20260809000000000000,已确认,2026-08-09,SC0001 · 测试供应商,0.01,2026-08-12 13:30:22
fin_payment,PY-00000000-20260808000000000000,付款单 PY-00000000-20260808000000000000,已确认,2026-08-08,SC0001 · 测试供应商,1.01,2026-08-12 13:30:22
purchase_return,PTR202608100001,采购退货 PTR202608100001,草稿,2026-08-10,TEST-SUP-01 · 测试供应商一,10.00,2026-08-12 13:30:22
purchase_receipt,PR202608080001,采购入库 PR202608080001,草稿,2026-08-08,TEST-SUP-01 · 测试供应商一,4.00,2026-08-12 13:30:22
purchase_order,TEST-PO-001,采购订单 TEST-PO-001,草稿,2026-08-07,TEST-SUP-01 · 测试供应商一,440.00,2026-08-12 13:30:22
purchase_order,PO202608080001,采购订单 PO202608080001,已审核,2026-08-08,TEST-SUP-01 · 测试供应商一,4.00,2026-08-12 13:30:21
fin_receipt,RC-00000000-20260810214323020791-5e1b23db,收款单 RC-00000000-20260810214323020791-5e1b23db,已确认,2026-08-10,TEST-CUST-01 · 测试客户一,0.01,2026-08-12 13:30:21
fin_receipt,RC-00000000-20260809224942419733-92f9db62,收款单 RC-00000000-20260809224942419733-92f9db62,已确认,2026-08-09,TEST-CUST-02 · 测试客户二,0.09,2026-08-12 13:30:21
fin_receipt,RC-00000000-20260809224542114426-a3231964,收款单 RC-00000000-20260809224542114426-a3231964,已确认,2026-08-09,TEST-CUST-02 · 测试客户二,1.01,2026-08-12 13:30:21
fin_receipt,RC-00000000-20260809224530477339-16c15e5a,收款单 RC-00000000-20260809224530477339-16c15e5a,已确认,2026-08-09,TEST-CUST-01 · 测试客户一,2.01,2026-08-12 13:30:21
fin_receipt,RC-00000000-20260809000000000000,收款单 RC-00000000-20260809000000000000,已确认,2026-08-09,TEST-CUST-02 · 测试客户二,2.01,2026-08-12 13:30:21
fin_receipt,RC-00000000-20260808000000000000,收款单 RC-00000000-20260808000000000000,已确认,2026-08-08,TEST-CUST-01 · 测试客户一,3.01,2026-08-12 13:30:21
sales_order,SO202608090001,销售订单 SO202608090001,草稿,2026-08-09,TEST-CUST-02 · 测试客户二,10.00,2026-08-12 13:29:24
sales_order,SO202608020001,销售订单 SO202608020001,草稿,2026-08-02,4,1.00,2026-08-12 13:29:24
