业务类型,单据编号,标题,状态,单据日期,业务对象,金额,更新时间
fin_voucher,FV-00000000-20260816002017215373-938bb861,会计凭证 FV-00000000-20260816002017215373-938bb861,已冲销,2026-08-16,,2000.00,2026-08-16 00:20:49
fin_voucher,RV-00000000-20260816002049172702-bbb19fd1,会计凭证 RV-00000000-20260816002049172702-bbb19fd1,已过账,2026-08-16,,2000.00,2026-08-16 00:20:49
fin_voucher,VCH-202608-0008,会计凭证 VCH-202608-0008,active,2026-08-16,,34.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0029,会计凭证 VCH-202608-0029,active,2026-08-22,,97.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0036,会计凭证 VCH-202608-0036,active,2026-08-14,,118.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0017,会计凭证 VCH-202608-0017,active,2026-08-10,,61.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0018,会计凭证 VCH-202608-0018,active,2026-08-11,,64.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0024,会计凭证 VCH-202608-0024,active,2026-08-17,,82.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0015,会计凭证 VCH-202608-0015,active,2026-08-08,,55.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0003,会计凭证 VCH-202608-0003,active,2026-08-11,,19.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0013,会计凭证 VCH-202608-0013,active,2026-08-21,,49.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0012,会计凭证 VCH-202608-0012,active,2026-08-20,,46.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0007,会计凭证 VCH-202608-0007,active,2026-08-15,,31.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0033,会计凭证 VCH-202608-0033,active,2026-08-11,,109.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0030,会计凭证 VCH-202608-0030,active,2026-08-08,,100.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0016,会计凭证 VCH-202608-0016,active,2026-08-09,,58.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0025,会计凭证 VCH-202608-0025,active,2026-08-18,,85.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0031,会计凭证 VCH-202608-0031,active,2026-08-09,,103.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0006,会计凭证 VCH-202608-0006,active,2026-08-14,,28.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0010,会计凭证 VCH-202608-0010,active,2026-08-18,,40.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0002,会计凭证 VCH-202608-0002,active,2026-08-10,,16.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0001,会计凭证 VCH-202608-0001,active,2026-08-09,,13.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0027,会计凭证 VCH-202608-0027,active,2026-08-20,,91.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0009,会计凭证 VCH-202608-0009,active,2026-08-17,,37.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0023,会计凭证 VCH-202608-0023,active,2026-08-16,,79.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0011,会计凭证 VCH-202608-0011,active,2026-08-19,,43.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0005,会计凭证 VCH-202608-0005,active,2026-08-13,,25.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0034,会计凭证 VCH-202608-0034,active,2026-08-12,,112.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0020,会计凭证 VCH-202608-0020,active,2026-08-13,,70.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0039,会计凭证 VCH-202608-0039,active,2026-08-17,,127.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0038,会计凭证 VCH-202608-0038,active,2026-08-16,,124.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0032,会计凭证 VCH-202608-0032,active,2026-08-10,,106.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0021,会计凭证 VCH-202608-0021,active,2026-08-14,,73.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0037,会计凭证 VCH-202608-0037,active,2026-08-15,,121.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0040,会计凭证 VCH-202608-0040,active,2026-08-18,,130.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0028,会计凭证 VCH-202608-0028,active,2026-08-21,,94.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0004,会计凭证 VCH-202608-0004,active,2026-08-12,,22.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0014,会计凭证 VCH-202608-0014,active,2026-08-22,,52.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0019,会计凭证 VCH-202608-0019,active,2026-08-12,,67.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0022,会计凭证 VCH-202608-0022,active,2026-08-15,,76.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0035,会计凭证 VCH-202608-0035,active,2026-08-13,,115.00,2026-08-15 11:17:49
fin_voucher,VCH-202608-0026,会计凭证 VCH-202608-0026,active,2026-08-19,,88.00,2026-08-15 11:17:49
